CMDLINE /opt/miniconda3/envs/jupyter/bin/python test.py
MEM 44.078125 1596199163.1602
MEM 44.093750 1596199163.2653
MEM 44.113281 1596199163.3688
MEM 44.128906 1596199163.4739
MEM 44.140625 1596199163.5752
MEM 44.156250 1596199163.6788
MEM 44.171875 1596199163.7819
MEM 44.187500 1596199163.8821
MEM 44.199219 1596199163.9824
MEM 44.214844 1596199164.0869
MEM 44.230469 1596199164.1903
MEM 44.246094 1596199164.2929
MEM 44.261719 1596199164.3933
MEM 44.277344 1596199164.4944
MEM 44.292969 1596199164.5995
MEM 44.304688 1596199164.7046
MEM 44.320312 1596199164.8093
MEM 44.335938 1596199164.9145
MEM 44.351562 1596199165.0172
MEM 44.367188 1596199165.1186
MEM 44.382812 1596199165.2191
MEM 44.382812 1596199165.3239
MEM 44.382812 1596199165.4277
MEM 44.382812 1596199165.5281
MEM 44.382812 1596199165.6307
MEM 44.382812 1596199165.7309
MEM 44.382812 1596199165.8323
MEM 44.382812 1596199165.9326
MEM 44.382812 1596199166.0378
MEM 44.382812 1596199166.1420
MEM 44.382812 1596199166.2438
MEM 44.382812 1596199166.3466
MEM 44.382812 1596199166.4504
MEM 44.382812 1596199166.5507
MEM 44.382812 1596199166.6541
MEM 44.382812 1596199166.7576
MEM 44.382812 1596199166.8582
MEM 44.382812 1596199166.9585
MEM 44.382812 1596199167.0595
MEM 44.382812 1596199167.1639
MEM 44.382812 1596199167.2674
MEM 44.382812 1596199167.3684
MEM 44.382812 1596199167.4697
MEM 44.382812 1596199167.5739
MEM 44.382812 1596199167.6741
MEM 44.382812 1596199167.7792
MEM 44.382812 1596199167.8804
MEM 44.382812 1596199167.9811
MEM 44.382812 1596199168.0825
MEM 44.382812 1596199168.1852
MEM 44.382812 1596199168.2853
MEM 44.382812 1596199168.3903
MEM 44.382812 1596199168.4945
MEM 44.382812 1596199168.5960
MEM 44.382812 1596199168.6972
MEM 44.382812 1596199168.7975
MEM 44.382812 1596199168.8984
MEM 44.382812 1596199169.0014
MEM 44.382812 1596199169.1025
MEM 44.382812 1596199169.2038
MEM 44.382812 1596199169.3051
MEM 44.382812 1596199169.4062
MEM 44.382812 1596199169.5067
MEM 44.382812 1596199169.6072
MEM 44.382812 1596199169.7075
MEM 44.382812 1596199169.8110
MEM 44.382812 1596199169.9119
MEM 44.382812 1596199170.0160
MEM 44.382812 1596199170.1212
MEM 44.382812 1596199170.2225
MEM 44.382812 1596199170.3241
MEM 44.382812 1596199170.4252
MEM 44.382812 1596199170.5267
MEM 44.382812 1596199170.6278
MEM 44.382812 1596199170.7288
MEM 44.382812 1596199170.8296
MEM 44.382812 1596199170.9339
MEM 44.382812 1596199171.0362
MEM 44.382812 1596199171.1404
MEM 44.382812 1596199171.2409
MEM 44.382812 1596199171.3425
MEM 44.382812 1596199171.4433
MEM 44.382812 1596199171.5452
MEM 44.382812 1596199171.6462
MEM 44.382812 1596199171.7511
MEM 44.382812 1596199171.8531
MEM 44.382812 1596199171.9535
MEM 44.382812 1596199172.0572
MEM 44.382812 1596199172.1582
MEM 44.382812 1596199172.2599
MEM 44.382812 1596199172.3627
MEM 44.382812 1596199172.4677
MEM 44.382812 1596199172.5692
MEM 44.382812 1596199172.6700
MEM 44.382812 1596199172.7719
MEM 44.382812 1596199172.8721
MEM 44.382812 1596199172.9740
MEM 44.382812 1596199173.0742
MEM 44.382812 1596199173.1772
MEM 44.382812 1596199173.2794
MEM 44.382812 1596199173.3797
MEM 44.382812 1596199173.4803
MEM 44.382812 1596199173.5825
MEM 44.382812 1596199173.6833
MEM 44.382812 1596199173.7882
MEM 44.382812 1596199173.8912
MEM 44.382812 1596199173.9929
MEM 44.382812 1596199174.0934
MEM 44.382812 1596199174.1982
MEM 44.382812 1596199174.2985
MEM 44.382812 1596199174.3987
MEM 44.382812 1596199174.4999
MEM 44.382812 1596199174.6029
MEM 44.382812 1596199174.7069
MEM 44.382812 1596199174.8093
MEM 44.382812 1596199174.9104
MEM 44.382812 1596199175.0154
MEM 44.382812 1596199175.1168
MEM 44.382812 1596199175.2170
MEM 44.382812 1596199175.3174
MEM 44.382812 1596199175.4182
MEM 44.382812 1596199175.5232
MEM 44.382812 1596199175.6240
MEM 44.382812 1596199175.7243
MEM 44.382812 1596199175.8277
MEM 44.382812 1596199175.9292
MEM 44.382812 1596199176.0298
MEM 44.382812 1596199176.1316
MEM 44.382812 1596199176.2331
MEM 44.382812 1596199176.3333
MEM 44.382812 1596199176.4351
MEM 44.382812 1596199176.5373
MEM 44.382812 1596199176.6389
MEM 44.382812 1596199176.7419
MEM 44.382812 1596199176.8466
MEM 44.382812 1596199176.9499
MEM 44.382812 1596199177.0530
MEM 44.382812 1596199177.1532
MEM 44.382812 1596199177.2568
MEM 44.382812 1596199177.3578
MEM 44.382812 1596199177.4593
MEM 44.382812 1596199177.5633
MEM 44.382812 1596199177.6635
MEM 44.382812 1596199177.7661
MEM 44.382812 1596199177.8675
MEM 44.382812 1596199177.9704
MEM 44.382812 1596199178.0741
MEM 44.382812 1596199178.1755
MEM 44.382812 1596199178.2757
MEM 44.382812 1596199178.3760
MEM 44.382812 1596199178.4809
MEM 44.382812 1596199178.5824
MEM 44.382812 1596199178.6868
MEM 44.382812 1596199178.7880
MEM 44.382812 1596199178.8905
MEM 44.382812 1596199178.9907
MEM 44.382812 1596199179.0923
MEM 44.382812 1596199179.1933
MEM 44.382812 1596199179.2949
MEM 44.382812 1596199179.3989
MEM 44.382812 1596199179.4991
MEM 44.382812 1596199179.6037
MEM 44.382812 1596199179.7070
MEM 44.382812 1596199179.8097
MEM 44.382812 1596199179.9123
MEM 44.382812 1596199180.0155
MEM 44.382812 1596199180.1157
